epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
81,16857,0.62668,0.53823,0.8952,0.96428,0.9874,0.98655,0.89877,0.45363,0.27409,0.8136,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,17064.6,0.62343,0.53382,0.89587,0.96503,0.98671,0.98696,0.89994,0.45242,0.27374,0.81329,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,17272.5,0.62191,0.52886,0.89469,0.96449,0.98882,0.98699,0.89948,0.45269,0.27361,0.81323,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,17479.5,0.61617,0.52743,0.89329,0.96523,0.98727,0.98692,0.89937,0.45258,0.27318,0.81324,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,17687.6,0.615,0.52574,0.89332,0.9644,0.98776,0.98696,0.89997,0.45152,0.2733,0.81307,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,17895.5,0.61504,0.52279,0.89225,0.96474,0.98801,0.98684,0.8996,0.45167,0.27307,0.81309,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,18102.1,0.61233,0.5223,0.8918,0.96523,0.98721,0.98683,0.90066,0.45017,0.27296,0.81271,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,18309.5,0.6132,0.52305,0.89185,0.9667,0.98516,0.98674,0.90072,0.4498,0.27247,0.81261,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,18516.9,0.60771,0.51528,0.89002,0.96601,0.98619,0.98674,0.90118,0.44865,0.27211,0.81236,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,18722.8,0.60207,0.51255,0.8876,0.96614,0.98565,0.98668,0.90179,0.44674,0.27196,0.81191,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,18878.1,0.46368,0.29226,0.86539,0.97005,0.98013,0.98681,0.90257,0.4455,0.27125,0.81163,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,19032.8,0.45043,0.28179,0.85966,0.96718,0.98485,0.98695,0.90382,0.44327,0.27007,0.81119,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,19187.3,0.44342,0.27687,0.85642,0.96829,0.98471,0.98723,0.90507,0.44136,0.26881,0.81079,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,19341.7,0.4401,0.275,0.85661,0.96968,0.98518,0.98752,0.90628,0.43897,0.26695,0.81026,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,19495.9,0.43769,0.27292,0.85364,0.96976,0.98582,0.98761,0.90747,0.43751,0.26583,0.80991,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,19650.4,0.43331,0.27086,0.85228,0.97026,0.98545,0.98772,0.90789,0.43617,0.26452,0.80957,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,19804.6,0.43179,0.269,0.85119,0.97097,0.98508,0.98778,0.90851,0.43448,0.26329,0.80917,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,19958.6,0.42684,0.26795,0.85005,0.97074,0.98564,0.98785,0.90904,0.43313,0.26222,0.80885,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,20112.8,0.42287,0.2649,0.84742,0.97125,0.98575,0.98794,0.90932,0.43187,0.261,0.80856,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,20267,0.4213,0.26183,0.84556,0.97119,0.98627,0.98798,0.90984,0.43065,0.26024,0.80831,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
